name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Miles Sanders,CAR,RB,27.9,5455,6151,14079,543,322,84,326
Sincere McCormick,LV,RB,24.5,8286,8220,15743,534,323,85,53
Keaton Mitchell,BAL,RB,23.2,9982,9511,16178,533,324,86,-10
Barion Brown,null,WR,null,12645,12456,UNK,530,325,111,-10
Evan Stewart,null,WR,null,12585,12468,UNK,529,326,112,-10
Antonio Gibson,NE,RB,26.7,7587,6945,14852,528,327,87,9
Justice Hill,BAL,RB,27.4,5156,5995,14086,527,328,88,-15
Corey Kiner,null,RB,null,12581,12491,UNK,522,329,89,-10
Malachi Corley,NYJ,WR,23,11744,11617,16636,522,330,113,40
Will Levis,TEN,QB,25.7,9901,9999,16149,518,331,42,-185
Bru McCoy,null,WR,null,11771,11612,UNK,512,332,114,-10
Dameon Pierce,HOU,RB,25.1,919,8129,15717,495,333,90,41
Will Shipley,PHI,RB,22.6,11743,11577,16601,490,334,91,15
Zack Moss,CIN,RB,27.3,336,6845,14798,490,335,92,-55
Gabe Davis,JAX,WR,26,8112,6943,14845,486,336,115,20
Antwane Wells,null,WR,null,12615,12460,UNK,483,337,116,-9
Riley Leonard,null,QB,null,12613,12470,UNK,481,338,43,-9
Kyle McCord,null,QB,null,12647,12494,UNK,465,339,44,-8
Kenny Pickett,PHI,QB,26.8,5730,8160,15692,448,340,45,338
Kobe Hudson,null,WR,null,12608,12488,UNK,432,341,117,-8
Devin Singletary,NYG,RB,27.5,8347,6130,14080,424,342,93,-93
Tyler Lockett,SEA,WR,32.5,2019,2374,12187,420,343,118,21
Jaydn Ott,null,RB,null,12577,12459,UNK,410,344,94,-8
Mike Williams,PIT,WR,30.5,8015,4068,13154,409,345,119,298
Jameis Winston,CLE,QB,31.2,794,2306,12140,395,346,46,3
Noah Fant,SEA,TE,27.3,2677,5857,14137,388,347,43,-136
Spencer Rattler,NO,QB,24.5,11719,11562,16586,377,348,47,-45
Jahan Dotson,PHI,WR,25,7169,8119,15755,377,349,120,-24
Elijah Mitchell,SF,RB,26.9,2660,7561,15263,376,350,95,268
Erick All,CIN,TE,24.5,11761,11592,16645,371,351,44,-255
John Metchie,HOU,WR,24.7,3812,8147,15759,370,352,121,-107
Isaiah Davis,NYJ,RB,23.1,11767,11571,16752,358,353,96,-171
Deshaun Watson,CLE,QB,29.5,3568,4017,13113,353,354,48,60
Tutu Atwell,LAR,WR,25.5,8432,7562,15301,352,355,122,198
Darius Slayton,NYG,WR,28.2,6028,6149,14122,348,356,123,4
Zamir White,LV,RB,25.5,3171,8139,15714,341,357,97,-51
Marquez Valdes-Scantling,NO,WR,30.4,5958,5086,13793,330,358,124,127
Sam Howell,SEA,QB,24.5,8210,8162,15693,329,359,49,157
Taysom Hill,NO,TE,34.6,6915,4381,13424,322,360,45,-89
Cam Akers,MIN,RB,25.7,2937,6938,14799,312,361,98,-57
Tyler Higbee,LAR,TE,32.2,5467,3271,12678,310,362,46,139
Kurtis Rourke,null,QB,null,12630,12477,UNK,304,363,50,-6
Will Dissly,LAC,TE,28.7,8420,5010,13763,304,364,47,-32
Calvin Austin,PIT,WR,26,4996,8125,15777,294,365,125,-42
Jalen Nailor,MIN,WR,26.1,3629,8180,15786,291,366,126,-44
Gus Edwards,LAC,RB,29.9,4539,5248,13850,290,367,99,-287
Cooper Rush,DAL,QB,31.3,157,4574,13124,289,368,51,145
Cade Stover,HOU,TE,24.8,11695,11599,16642,288,369,48,-55
Gardner Minshew,LV,QB,28.8,7783,6011,14067,283,370,52,189
Moliki Matavao,null,TE,null,12628,12480,UNK,255,371,49,-5
Ray-Ray McCloud,ATL,WR,28.4,6900,5096,13641,254,372,127,-55
Zach Wilson,DEN,QB,25.6,6731,7538,15239,249,373,53,256
Antonio Williams,null,WR,null,12639,12461,UNK,246,374,128,-5
Malik Willis,GB,QB,25.8,6888,8161,15694,246,375,54,18
Emanuel Wilson,GB,RB,25.9,11422,11435,16432,241,376,100,-81
Demarcus Robinson,LAR,WR,30.5,448,3286,12785,215,377,129,10
